Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Արմավիր,Բաղրամյան / Արևադաշտ,գ. Արևադաշտի մ/դ,2
Լոռի,Ալավերդի / Արևածագ,գ. Արևածագի Կ․ Մելիքսեթյան անվ․ մ/դ,7
Արմավիր,Վաղարշապատ / Արևաշատ,գ. Արևաշատի մ/դ,7
Լոռի,Սպիտակ / Արևաշող,գ. Արևաշողի մ/դ,11
Արմավիր,Արմավիր / Արևիկ,գ. Արևիկի մ/դ,16
Շիրակ,Ախուրյան / Արևիկ,գ. Արևիկի մ/դ,12
Արարատ,Արտաշատ / Արևշատ,գ. Արևշատի մ/դ,12
Արագածոտն,Ապարան / Ափնագյուղ,գ. Ափնայի մ/դ,4
Լոռի,Ալավերդի / Աքորի,գ. Աքորու մ/դ,9
Արմավիր,Բաղրամյան / Բագարան,գ. Բագարանի մ/դ,4
Շիրակ,Անի / Բագրավան,գ. Բագրավանի մ/դ,1
Տավուշ,Նոյեմբերյան / Բագրատաշեն,գ. Բագրատաշենի թիվ 2 հմ/դ,7
Տավուշ,Նոյեմբերյան / Բագրատաշեն,գ. Բագրատաշենի Մ․ Մագուլյանի անվան թիվ 1 մ/դ,12
Արագածոտն,Աշտարակ / Բազմաղբյուր,գ. Բազմաղբյուրի մ/դ,5
Լոռի,Գուգարք / Բազում,գ. Բազումի մ/դ,8
Կոտայք,Աբովյան / Բալահովիտ,գ. Բալահովիտի Ի.Վիրաբյանի անվ. մ/դ,12
Սյունիք,Սիսիան / Բալաք,գ. Բալաքի տ/դ,1
Տավուշ,Նոյեմբերյան / Բաղանիս,գ. Բաղանիսի մ/դ,4
Արմավիր,Բաղրամյան / Բաղրամյան,գ. Բաղրամյան մ/դ,4
Արարատ,Արտաշատ / Բաղրամյան,գ. Բաղրամյանի մ/դ,19
Արմավիր,Վաղարշապատ / Բաղրամյան,գ. Բաղրամյանի մ/դ,25
Արմավիր,Արմավիր / Բամբակաշատ,գ. Բամբակաշատի մ/դ,22
Շիրակ,Ամասիա / Բանդիվան,գ. Բանդիվանի մ/դ,2
Շիրակ,Աշոցք / Բավրա,գ. Բավրայի մ/դ,6
Տավուշ,Նոյեմբերյան / Բարեկամավան,գ. Բարեկամավանի մ/դ,1
Արարատ,Արտաշատ / Բարձրաշեն,գ. Բարձրաշենի մ/դ,13
Սյունիք,Գորիս / Բարձրավան,գ. Բարձրավանի մ/դ,2
Վայոց Ձոր,Վայք / Բարձրունի,գ. Բարձրունու մ/դ,4
Շիրակ,Ախուրյան / Բենիամին,գ. Բենիամինի մ/դ,3
Շիրակ,Ամասիա / Բերդաշեն,գ. Բերդաշենի մ/դ,1
Տավուշ,Նոյեմբերյան / Բերդավան,գ. Բերդավանի մ/դ,22
Արարատ,Արտաշատ / Բերդիկ,գ. Բերդիկի մ/դ,5
Տավուշ,Իջևան / Բերքաբեր,գ. Բերքաբերի մ/դ,1
Արմավիր,Արմավիր / Բերքաշատ,գ. Բերքաշատի մ/դ,5
Արագածոտն,Արագած / Բերքառատ,գ. Բերքառատի մ/դ,2
Լոռի,Տաշիր / Բլագոդարնոյե,գ. Բլագոդարնոյեի հմ/դ,3
Արագածոտն,Աշտարակ / Բյուրական,գ. Բյուրականի Հ.Թումանյանի անվ. մ/դ,25
Շիրակ,Ամասիա / Բյուրակն,գ. Բյուրակնի մ/դ,2
