Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,35,- չունի -,- չունի -,31,4,- չունի -,- չունի -
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,5,- չունի -,- չունի -,5,- չունի -,- չունի -,- չունի -
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,97,- չունի -,- չունի -,90,7,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,117,- չունի -,- չունի -,115,2,- չունի -,- չունի -
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,28,- չունի -,- չունի -,27,1,- չունի -,- չունի -
Շիրակ,Ախուրյան / Այգաբաց,գ. Այգաբացի մ/դ,43,- չունի -,- չունի -,43,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Այգավան,գ. Այգավանի մ/դ,178,- չունի -,- չունի -,172,6,- չունի -,- չունի -
Արարատ,Արտաշատ / Այգեզարդ,գ. Այգեզարդի Ա.Ղարիբյանի անվ. մ/դ,229,- չունի -,- չունի -,214,15,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Այգեկ,գ. Այգեկի Մուշեղ Մովսիսյանի անվ. մ/դ,148,- չունի -,- չունի -,142,6,- չունի -,- չունի -
Լոռի,Ալավերդի / Այգեհատ,գ. Այգեհատի հմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Այգեհովիտ,գ. Այգեհովիտի մ/դ,157,3,- չունի -,152,2,- չունի -,- չունի -
Տավուշ,Տավուշ / Այգեձոր,գ. Այգեձորի մ/դ,104,- չունի -,- չունի -,104,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Այգեշատ,գ. Այգեշատի մ/դ,93,1,- չունի -,86,6,- չունի -,- չունի -
Արմավիր,Արմավիր / Այգեշատ,գ. Այգեշատի Յու.Հովհաննիսյանի անվ. մ/դ,95,1,- չունի -,89,5,- չունի -,- չունի -
Արարատ,Արտաշատ / Այգեպատ,գ. Այգեպատի մ/դ,94,3,- չունի -,87,4,- չունի -,- չունի -
Արարատ,Արտաշատ / Այգեստան,գ. Այգեստանի մ/դ,181,- չունի -,- չունի -,175,6,- չունի -,- չունի -
Արմավիր,Արմավիր / Այգևան,գ. Այգեվանի Մ.Խորենացու անվ. մ/դ,105,- չունի -,- չունի -,105,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Այգուտ,գ. Այգուտի մ/դ,34,- չունի -,- չունի -,34,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Այնթապ,գ. Այնթապի Բյուզանդ Մարգարյանի անվ. թիվ 2 մ/դ,533,3,- չունի -,489,41,- չունի -,- չունի -
Արարատ,Մասիս / Այնթապ,գ. Այնթապի թիվ 1 մ/դ,340,1,- չունի -,325,13,- չունի -,1
Տավուշ,Նոյեմբերյան / Այրում,գ. Այրումի Հ.Մալինյանի անվ. մ/դ,118,- չունի -,- չունի -,114,4,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Այրք,գ. Այրքի մ/դ,11,- չունի -,- չունի -,11,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Անգեղակոթ,գ. Անգեղակոթի մ/դ,59,- չունի -,- չունի -,54,5,- չունի -,- չունի -
Շիրակ,Անի / Անիպեմզա,գ. Անիպեմզայի մ/դ,23,1,- չունի -,22,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Անուշավան,գ. Անուշավանի մ/դ,98,- չունի -,- չունի -,98,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Անտառամեջ,գ. Անտառամեջի մ/դ,15,- չունի -,- չունի -,15,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Անտառամուտ,գ. Անտառամուտի հմ/դ,6,- չունի -,- չունի -,6,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Անտառուտ,գ. Անտառուտի մ/դ,49,- չունի -,- չունի -,47,2,- չունի -,- չունի -
Արագածոտն,Թալին / Աշնակ,գ. Աշնակի Գ.Չաուշի անվ. մ/դ,78,- չունի -,- չունի -,75,3,- չունի -,- չունի -
Սյունիք,Սիսիան / Աշոտավան,գ. Աշոտավանի մ/դ,32,- չունի -,- չունի -,30,2,- չունի -,- չունի -
Շիրակ,Աշոցք / Աշոցք,գ. Աշոցքի մ/դ,131,- չունի -,- չունի -,130,1,- չունի -,- չունի -
Տավուշ,Իջևան / Աչաջուր,գ. Աչաջրի մ/դ,280,- չունի -,- չունի -,276,4,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ապագա,գ. Ապագայի մ/դ,116,1,- չունի -,108,7,- չունի -,- չունի -
